Name,Version,Summary / License
rope,0.10.7,A python refactoring library... / GPL 2.0
routes,2.4.1,Routing Recognition and Generation Tools / MIT
ruamel_yaml,0.15.35,A patched copy of ruamel.yaml. / MIT
runipy,0.1.5,Run IPython notebooks from the command line / BSD 2-Clause
s3fs,0.1.2,convenient Filesystem interface over S3 / BSD
sas7bdat,2.0.7,sas7bdat file reader for Python / MIT
scandir,1.6,"scandir, a better directory iterator and faster os.walk() / BSD 3-Clause"
scikit-bio,0.5.1,Python package for bioinformatics / BSD
scikit-image,0.13.1,Image processing routines for SciPy. / BSD 3-Clause
scikit-learn,0.19.1,A set of python modules for machine learning and data mining / BSD 3-Clause
scipy,1.0.0,Scientific Library for Python / BSD 3-Clause
scrapy,1.4.0,A high-level Python Screen Scraping framework / BSD 3-Clauses
seaborn,0.8.1,Statistical data visualization / BSD 3-Clause
semantic_version,2.6.0,A library implementing the 'SemVer' scheme. / BSD
send2trash,1.4.2,Python library to natively send files to Trash (or Recycle bin) on all platforms. / BSD-3-Clause
service_identity,17.0.0,Service identity verification for pyOpenSSL / MIT
setuptools,38.4.0,"Download, build, install, upgrade, and uninstall Python packages / MIT"
setuptools_scm,1.15.6,The blessed package to manage your versions by scm tags. / MIT
sh,1.12.14,Python subprocess interface / MIT
shapely,1.6.2,Python package for manipulation and analysis of geometric objects in the Cartesian plane. / BSD 3-Clause
simplegeneric,0.8.1,"Simple generic functions (similar to Python's own len(), pickle.dump(), etc.) / Zope Public"
